,Title,Artist,Year
0,Rude,MAGIC!,2014
1,E.T.,Katy Perry Featuring Kanye West,2011
2,How To Love,Lil Wayne,2011
3,We Can't Stop,Miley Cyrus,2013
4,Drag Me Down,One Direction,2015
5,Super Bass,Nicki Minaj,2011
6,Just Can't Get Enough,The Black Eyed Peas,2011
7,Billionaire,Travie McCoy Featuring Bruno Mars,2010
8,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011
9,Somebody That I Used To Know,Gotye Featuring Kimbra,2012
10,Dynamite,Taio Cruz,2010
11,See You Again,Wiz Khalifa Featuring Charlie Puth,2015
12,Cold Water,Major Lazer Featuring Justin Bieber & MO,2016
13,I Like It,Enrique Iglesias Featuring Pitbull,2010
14,This Is What You Came For,Calvin Harris Featuring Rihanna,2016
15,Heathens,twenty one pilots,2016
16,One Dance,Drake Featuring WizKid & Kyla,2016
17,Call Me Maybe,Carly Rae Jepsen,2012
18,Lean On,Major Lazer & DJ Snake Featuring MO,2015
19,Break Your Heart,Taio Cruz Featuring Ludacris,2010
20,Radioactive,Imagine Dragons,2013
21,Anaconda,Nicki Minaj,2014
22,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2017
23,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2017
24,Attention,Charlie Puth,2017
25,Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015
26,Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015
27,Lighters,Bad Meets Evil Featuring Bruno Mars,2011
28,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011
29,Cruise,Florida Georgia Line Featuring Nelly,2013
30,Shake It Off,Taylor Swift,2014
31,Unforgettable,French Montana Featuring Swae Lee,2017
32,Bodak Yellow (Money Moves),Cardi B,2017
33,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010
34,Lights,Ellie Goulding,2012
35,OMG,Usher Featuring will.i.am,2010
36,Watch Me,Silento,2015
37,Roar,Katy Perry,2013
38,Airplanes,B.o.B Featuring Hayley Williams,2010
39,Can't Stop The Feeling!,Justin Timberlake,2016
40,Problem,Ariana Grande Featuring Iggy Azalea,2014
41,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016
42,The Hills,The Weeknd,2015
43,Stay With Me,Sam Smith,2014
44,Mirrors,Justin Timberlake,2013
45,Happy,Pharrell Williams,2014
46,Fancy,Iggy Azalea Featuring Charli XCX,2014
47,Closer,The Chainsmokers Featuring Halsey,2016
48,Humble.,Kendrick Lamar,2017
49,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011
50,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017
51,On The Floor,Jennifer Lopez Featuring Pitbull,2011
52,What Makes You Beautiful,One Direction,2012
53,All About That Bass,Meghan Trainor,2014
54,Break Free,Ariana Grande Featuring Zedd,2014
55,Where Have You Been,Rihanna,2012
56,Your Love Is My Drug,Ke$ha,2010
57,Starships,Nicki Minaj,2012
58,Trap Queen,Fetty Wap,2015
59,Get Lucky,Daft Punk Featuring Pharrell Williams,2013
60,Holy Grail,Jay Z Featuring Justin Timberlake,2013
61,All Of Me,John Legend,2014
62,Cheap Thrills,Sia Featuring Sean Paul,2016
63,Shape Of You,Ed Sheeran,2017
64,Best Song Ever,One Direction,2013
65,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013
66,We Are Young,fun. Featuring Janelle Monae,2012
67,Wiggle,Jason Derulo Featuring Snoop Dogg,2014
68,Don't Let Me Down,The Chainsmokers Featuring Daya,2016
69,Cheerleader,OMI,2015
70,Am I Wrong,Nico & Vinz,2014
71,Want To Want Me,Jason Derulo,2015
72,Teenage Dream,Katy Perry,2010
73,Love The Way You Lie,Eminem Featuring Rihanna,2010
74,Believer,Imagine Dragons,2017
75,Alejandro,Lady Gaga,2010
76,That's What I Like,Bruno Mars,2017
77,Last Friday Night (T.G.I.F.),Katy Perry,2011
78,We Are Never Ever Getting Back Together,Taylor Swift,2012
79,Whistle,Flo Rida,2012
80,Treasure,Bruno Mars,2013
81,The Lazy Song,Bruno Mars,2011
82,Wide Awake,Katy Perry,2012
83,Just Give Me A Reason,P!nk Featuring Nate Ruess,2013
84,California Gurls,Katy Perry Featuring Snoop Dogg,2010
85,Rolling In The Deep,Adele,2011
86,Panda,Desiigner,2016
87,Turn Down For What,DJ Snake & Lil Jon,2014
88,She Will,Lil Wayne Featuring Drake,2011
89,Find Your Love,Drake,2010
90,Shut Up And Dance,WALK THE MOON,2015
91,Mine,Taylor Swift,2010
92,Payphone,Maroon 5 Featuring Wiz Khalifa,2012
93,Can't Feel My Face,The Weeknd,2015
94,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013
