,Title,Artist,Year
0,Move Ya Body,Nina Sky Featuring Jabba,2004
1,We Can't Stop,Miley Cyrus,2013
2,21 Questions,50 Cent Featuring Nate Dogg,2003
3,I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",2002
4,Super Bass,Nicki Minaj,2011
5,A Bay Bay,Hurricane Chris,2007
6,You Sang To Me,Marc Anthony,2000
7,Titanium,David Guetta Featuring Sia,2012
8,See You Again,Wiz Khalifa Featuring Charlie Puth,2015
9,One Dance,Drake Featuring WizKid & Kyla,2016
10,Unfaithful,Rihanna,2006
11,Lean On,Major Lazer & DJ Snake Featuring MO,2015
12,Beautiful Girls,Sean Kingston,2007
13,Hips Don't Lie,Shakira Featuring Wyclef Jean,2006
14,Bust It Baby Part 2,Plies Featuring Ne-Yo,2008
15,Break Your Heart,Taio Cruz Featuring Ludacris,2010
16,Attention,Charlie Puth,2017
17,Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015
18,Lighters,Bad Meets Evil Featuring Bruno Mars,2011
19,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011
20,There You Go,P!nk,2000
21,"Jumpin', Jumpin'",Destiny's Child,2000
22,Makes Me Wonder,Maroon 5,2007
23,Lights,Ellie Goulding,2012
24,The Reason,Hoobastank,2004
25,OMG,Usher Featuring will.i.am,2010
26,Sunshine,Lil' Flip Featuring Lea,2004
27,Make Me Better,Fabolous Featuring Ne-Yo,2007
28,Don't Mind,Kent Jones,2016
29,Hit 'Em Up Style (Oops!),Blu Cantrell,2001
30,Without Me,Eminem,2002
31,Confessions Part II,Usher,2004
32,Viva La Vida,Coldplay,2008
33,A Thousand Miles,Vanessa Carlton,2002
34,Tonight Tonight,Hot Chelle Rae,2011
35,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016
36,Stay With Me,Sam Smith,2014
37,Bleeding Love,Leona Lewis,2008
38,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,2005
39,Fancy,Iggy Azalea Featuring Charli XCX,2014
40,Magic Stick,Lil' Kim Featuring 50 Cent,2003
41,Stay,Zedd & Alessia Cara,2017
42,Slow Motion,Juvenile Featuring Soulja Slim,2004
43,Incomplete,Sisqo,2000
44,Psycho,Post Malone Featuring Ty Dolla $ign,2018
45,I Gotta Feeling,The Black Eyed Peas,2009
46,What Makes You Beautiful,One Direction,2012
47,Inside Your Heaven,Carrie Underwood,2005
48,Closer,Ne-Yo,2008
49,Better Now,Post Malone,2018
50,Try Again,Aaliyah,2000
51,Over My Head (Cable Car),The Fray,2006
52,Holy Grail,Jay Z Featuring Justin Timberlake,2013
