;Unnamed: 0;Title;Artist;Year;0;has_lyrics;track_id;genre;language;instrumental;lyrics;sadness;joy;fear;disgust;anger;sentiment
0;0;Doesn't Really Matter;Janet;2000;344;1.0;30300301.0;Pop;English;0.0;"Doesn't matter what your friends are telling you
Doesn't matter what my family's saying too
It just matters that I'm in love with you
It only matters that you love me too

It doesn't matter if they won't accept you
I'm accepting of you and the things you do
Just as long as it's you
Nobody but you, baby, baby

My love for you, unconditional love too
Gotta get up, get up
Get up, get up, get up and show you that it
Doesn't really matter what the eye is seeing

'Cause I'm in love with the inner being
And it doesn't really matter what they believe
What matters to me is you're in love with me

Doesn't really matter what the eye is seeing
'Cause I'm in love with the inner being
And it doesn't really matter what they believe
What matters to me is you're nutty-nutty-nutty for me

You're so kind
Just what I asked for, you're so loving and kind
And you're mine
And I can't believe you're mine";0.085879;0.772121;0.008938;0.015281;0.146302;0.789493
1;1;Incomplete;Sisqo;2000;247;1.0;44777106.0;;English;0.0;"Whoo
Ooh
Oh yeah yeah
Listen

Bright lights, fancy restaurants
Everything in this world that a man could want
Got a bank account bigger than the law should allow
Still I'm lonely now

Pretty faces from the covers of the magazines
From their covers to my covers wanna lay with me
Fame and fortune still can't find
Just a grown man runnin' out of time

Even though it seems I have everything
I don't wanna be a lonely fool
All of the women, all the expensive cars
All of the money don't amount to you
So I can make believe I have everything
But I can't pretend that I don't see
That without you girl my life is incomplete
Said without you girl ahh
Listen";0.697842;0.174072;0.138937;0.123028;0.07883;-0.594292
2;2;Jumpin', Jumpin';Destiny's Child;2000;404;1.0;18542149.0;Pop;English;0.0;"Ladies, leave your man at home
The club is full of ballers
And they're pockets full grown
And all you fellas, leave your girl with her friends
'Cause it's 11:  30 and the club is jumpin', jumpin'

Oh, he sayin' he got a girl
Yes, it's true you got a man
But the party ain't gon' stop
So let's make it hot, hot

Last week and you stayed at home alone and lonely
Couldn't find your man
He was chilling with his homies
This weekend you're going out
If he try to stop you
You're going off

You got your hair done
And your nails done, too
With your outfit and you're fitting the shoes
Who parlaying at the hottest spot tonight
You're gonna find the fellas
Rollin' in the Lexus, trucks, and hummers

Oh, he sayin' he got a girl
Yes, it's true you got a man
But the party ain't gon' stop
So let's make it hot, hot

All you ladies leave your man at home
The club is full of ballers
And they're pockets full grown
And all you fellas leave your girl with her friends
'Cause it's 11:  30 and the club is jumpin', jumpin'

Ladies, leave your man at home
The club is full of ballers
And they're pockets full grown
And all you fellas leave your girl with her friends
'Cause it's 11:  30 and the club is jumpin', jumpin'

Oh, he sayin' he got a girl
Yes, it's true you got a man
But the party ain't gon' stop
So let's make it hot, hot

Call your boys";0.082157;0.59511;0.035744;0.214839;0.17515;-0.477278
3;3;Bent;matchbox twenty;2000;573;1.0;31571375.0;Pop;English;0.0;"If I fall along the way
Pick me up and dust me off
And if I get too tired to make it
Be my breath so I can walk

If I need some other love
Give me more than I can stand
And when my smile gets old and faded
Wait around I'll smile again

Shouldn't be so complicated
Just hold me and then
Just hold me again

Can you help me I'm bent
I'm so scared that I'll never
Get put back together

Keep breaking me in
And this is how we will end
With you and me bent";0.174072;0.365814;0.496216;0.008946;0.11692;-0.662426
4;4;No More;Ruff Endz;2000;324;1.0;914723.0;Pop;English;0.0;"Ooh babe, oh girl
No more, no more
Bounce baby, bounce baby
You can move, uh
Check it out

Baby, relax, sit back and chill (yeah)
Just give me a second
And let me tell you how I feel
Cause all around town you've been steppin' out
Runnin' your mouth about
What made you think I wouldn't find out?
Wasn't I there for you?
Truly cared for you
Maybe my love was just too good
Could've had it good, now the love is gone
And went back to your hood with the 54-11's on

Does he lace you with the finer things?
Does he make ya wanna scream his name?
Does he hit it from the front to back?
Did you let him break it down like that?
Should've told me the love was gone
Never thought that you'd do me wrong
Girl I thought that your love was strong
'Til I saw you in another man's arms

No more shopping sprees
No more late night creeps
No more VIP
No more dough
We can't even kick it no more";0.511653;0.614522;0.094574;0.103981;0.517265;-0.638371
5;5;I Wanna Know;Joe;2000;580;1.0;30854068.0;R&B/Soul;English;0.0;"Y
Oooh yeah
Yeah, oh yeah
Alright, oh oh

It's amazing how you knock me off my feet
Every time you come around me I get weak, oh yeah
Nobody ever made me feel this way, oh
You kiss my lips and then you take my breath away
So I wanna know

I wanna know what turns you on
(Yea, I'd like to know)
So I can be all that and more
(I'd like to know, yea)
I'd like to know what makes you cry
(So)
So I can be the one who always make you smile

Girl he never understood what you were worth, no
And he never took the time to make it work, no
(You deserve more loving, girl)
Baby I'm the kind of man who shows concern, yes I do
Anyway that I can please you, let me learn
So I wanna know

I wanna know what turns you on";0.39291;0.49857;0.128049;0.011181;0.017311;-0.773466
6;6;Kryptonite;3 Doors Down;2000;262;1.0;13947189.0;Rock;English;0.0;"I took a walk around the world
To ease my troubled mind
I left my body lying somewhere
In the sands of time
But I watched the world float
To the dark side of the moon

I feel there is nothing I can do, yeah

I watched the world float
To the dark side of the moon
After all I knew it had to be
Something to do with you
I really don't mind what happens now and then
As long as you'll be my friend at the end

If I go crazy then will you still
Call me Superman
If I'm alive and well, will you be
There a-holding my hand";0.417224;0.271429;0.33786;0.075575;0.094035;-0.783563
8;8;Absolutely (Story Of A Girl);Nine Days;2000;490;1.0;924003.0;Rock;English;0.0;"This is the story of a girl
Who cried a river and drowned the whole world!
And while she looked so sad in photographs
I absolutely love her
When she smiles...

How many days in a year?
She woke up with hope but she only found tears.
And i can be so insincere
Making her promises never for real!
As long as she stands there waiting
Wearing the holes in the soles of her shoes!
How many days disappear?
When you look in the mirror so how do you choose?
Your clothes never wear as well the next day
And your hair never falls in quite the same way
But you never seem to run out of things to say

This is the story of a girl
Who cried a river and drowned the whole world!";0.637123;0.621281;0.109451;0.110256;0.073015;-0.651183
9;9;It's Gonna Be Me;'N Sync;2000;572;1.0;13814912.0;Pop;English;0.0;"It's gonna--be--me
Oooh, yeah
You might've been hurt, babe
That ain't no lie
You've seen them all come and go, oh.
I remember you told me
That it made you believe in
No man, no cry
Maybe that's why
Every little thing I do
Never seems enough for you
You don't wanna lose it again
But I'm not like them
Baby, when you finally,
Get to love somebody
Guess what,
It's gonna be me
You've got no choice, babe
But to move on, and you know
There ain't no time to waste";0.26953;0.611877;0.036386;0.013573;0.129985;-0.629823
10;10;(Hot S**t) Country Grammar;Nelly;2000;367;1.0;87104999.0;;English;0.0;"HOT SHIT!

Mmmmmm

I'm goin down down baby, yo' street in a Range Rover (c'mon)
Street sweeper baby, cocked ready to let it go (HOT SHIT!)
Shimmy shimmy cocoa what? Listen to it pound
Light it up and take a puff, pass it to me now
I'm goin down down baby, yo' street in a Range Rover (c'mon)
Street sweeper baby, cocked ready to let it go (HOT SHIT!)
Shimmy shimmy cocoa what? Listen to it pound
Light it up and take a puff, pass it to me now

You can find me, in St. Louis rollin on dubs
Smokin on dubs in clubs, blowin up like cocoa puffs
Sippin Bud, gettin perved and getting dubbed
Daps and hugs, mean mugs and shoulder shrugs
And it's all because, 'ccumulated enough scratch
Just to navigate it, wood decorated on chrome
and it's candy painted, fans fainted - while I'm entertainin
Wild ain't it? How me and money end up hangin'
I hang with Hannibal Lector (HOT SHIT!) so feel me when I bring it
Sing it loud (what?)
I'm from the Lou and I'm proud
Run a mile - for the cause, I'm righteous above the law
Playa my style's raw, I'm ""Born to Mack"" like Todd Shaw
Forget the fame, and the glamour
Give me D's wit a rubber hammer
My grammar be's ebonics, gin tonic and chronic
Fuck bionic it's ironic, slammin niggaz like Onyx
Lunatics ‘til the day I die
I run more game than the Bulls and Sonics

I'm goin down down baby, yo' street in a Range Rover (c'mon)
Street sweeper baby, cocked ready to let it go (HOT SHIT!)";0.033866;0.093906;0.054224;0.117;0.833127;-0.710203
